brand,price,os_name,Processor,RAM Size GB,Storage Size GB,battery_capacity,Dual_Sim,Screen_Size,Refresh_Rate,primary_rear_camera_mp,num_rear_cameras,primary_front_camera_mp,num_front_cameras,memory_card_support,fast_charging_power,4G,5G,Vo5G,NFC,IR_Blaster,Core_Count,Clock_Speed_GHz,Resolution_Width,Resolution_Height,Notch_Type,os_version,rating,b_r,Processor_Category,price_Category,RAM Size GB_Category,Storage Size GB_Category,battery_capacity_Category,fast_charging_power_Category,os_version_Category,Screen_Size_Category,primary_rear_camera_mp_Category,primary_front_camera_mp_Category,Clock_Speed_GHz_Category,Resolution_Width_Category,Resolution_Height_Category,rating_Category
Apple,179900,iOS,Bionic_15,6.0,1024.0,4352.0,Yes,6.7,120.0,12.0,3.0,12.0,1.0,No,0,Yes,Yes,No,Yes,No,6.0,3.22,1284.0,2778.0,Small Notch,15.0,86.0,Apple,bionic,Luxury,4-8 GB,256-1024 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,8-16 mp,3-4 GHz,1080-1440 Width,2160-3840 Height,80-90 rating
Vivo,11990,Android,Snapdragon_439,3.0,64.0,5000.0,Yes,6.51,60.0,13.0,3.0,8.0,1.0,Yes,0,Yes,No,No,No,No,8.0,2.4,720.0,1600.0,Water Drop Notch,11.0,68.0,Vivo,snapdragon,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,1-8 mp,2-3 GHz,640-1080 Width,1480-2160 Height,60-70 rating
Vivo,26990,Android,Helio_96,8.0,128.0,4050.0,Yes,6.44,60.0,64.0,3.0,50.0,1.0,No,44,Yes,No,No,No,No,8.0,2.05,1080.0,2400.0,Water Drop Notch,11.0,82.0,Vivo,helio,Premium,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,40-60 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Samsung,13499,Android,Helio_80,6.0,128.0,6000.0,Yes,6.4,90.0,48.0,1.0,13.0,1.0,Yes,0,Yes,No,No,No,No,8.0,2.4,720.0,1600.0,Water Drop Notch,11.0,76.0,Samsung,helio,Mid-Range,4-8 GB,32-256 GB,5000-10000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,1480-2160 Height,70-80 rating
Xiaomi,75999,Android,Snapdragon_8,12.0,256.0,4800.0,Yes,6.73,120.0,50.0,3.0,20.0,1.0,Yes,67,Yes,Yes,No,Yes,Yes,8.0,3.2,1440.0,3200.0,Punch Hole,12.0,80.0,Xiaomi,snapdragon,Flagship,8-18 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,40-60 mp,16-40 mp,3-4 GHz,1080-1440 Width,2160-3840 Height,70-80 rating
Micromax,5999,Android,Other_610,3.0,32.0,5000.0,Yes,6.52,60.0,8.0,1.0,5.0,1.0,Yes,0,Yes,No,No,No,No,8.0,1.8,720.0,1600.0,Water Drop Notch,11.0,60.0,Other,Other,Budget,1-4 GB,1-32 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,1-8 mp,0-2 GHz,640-1080 Width,1480-2160 Height,60-70 rating
Samsung,8499,Android,Helio_35,3.0,32.0,5000.0,Yes,6.5,60.0,13.0,3.0,5.0,1.0,Yes,15,Yes,No,No,No,No,8.0,2.3,720.0,1600.0,Water Drop Notch,11.0,67.0,Samsung,helio,Budget,1-4 GB,1-32 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,1-8 mp,2-3 GHz,640-1080 Width,1480-2160 Height,60-70 rating
OPPO,11990,Android,Helio_35,4.0,128.0,5000.0,Yes,6.51,60.0,13.0,3.0,16.0,1.0,Yes,0,Yes,No,No,No,No,8.0,2.3,1600.0,720.0,Punch Hole,10.0,71.0,OPPO,helio,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v5-v10,6-9 inches,5-14 mp,8-16 mp,2-3 GHz,1440-2460 Width,640-1480 Height,70-80 rating
Xiaomi,10990,Android,Dimensity_700,4.0,128.0,5000.0,Yes,6.43,90.0,48.0,1.0,13.0,1.0,Yes,18,Yes,Yes,No,No,Yes,8.0,2.2,1080.0,2340.0,Punch Hole,10.0,77.0,Xiaomi,dimensity,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v5-v10,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Xiaomi,109990,Android,Snapdragon_888,12.0,256.0,5020.0,Yes,8.01,90.0,50.0,1.0,16.0,1.0,Yes,67,Yes,Yes,No,Yes,Yes,8.0,2.84,1860.0,2480.0,No Notch,10.0,80.0,Xiaomi,snapdragon,Luxury,8-18 GB,32-256 GB,5000-10000 mAh,50-80W,v5-v10,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,1440-2460 Width,2160-3840 Height,70-80 rating
Realme Narzo,16999,Android,Dimensity_700,6.0,128.0,5000.0,Yes,6.5,90.0,48.0,3.0,16.0,1.0,Yes,18,Yes,Yes,No,Yes,No,8.0,2.2,1080.0,2400.0,Punch Hole,11.0,80.0,Other,dimensity,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
OPPO,12199,Android,Helio_35,4.0,64.0,5000.0,Yes,6.51,60.0,13.0,3.0,16.0,1.0,Yes,0,Yes,No,No,No,No,8.0,2.3,1600.0,720.0,Punch Hole,10.0,70.0,OPPO,helio,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v5-v10,6-9 inches,5-14 mp,8-16 mp,2-3 GHz,1440-2460 Width,640-1480 Height,60-70 rating
OPPO,11490,Android,Helio_35,4.0,128.0,4230.0,Yes,6.52,60.0,13.0,3.0,8.0,1.0,Yes,0,Yes,No,No,No,No,8.0,2.3,720.0,1600.0,Water Drop Notch,10.0,72.0,OPPO,helio,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v5-v10,6-9 inches,5-14 mp,1-8 mp,2-3 GHz,640-1080 Width,1480-2160 Height,70-80 rating
itel,5490,Android,Other_1,1.0,16.0,4000.0,Yes,6.0,60.0,8.0,1.0,5.0,1.0,Yes,0,Yes,No,No,No,No,4.0,1.3,720.0,1600.0,No Notch,9.0,80.0,Other,Other,Budget,0-1 GB,1-32 GB,3000-5000 mAh,0-50W,v5-v10,4-6 inches,5-14 mp,1-8 mp,0-2 GHz,640-1080 Width,1480-2160 Height,70-80 rating
Xiaomi,11499,Android,Snapdragon_662,4.0,64.0,6000.0,Yes,6.53,60.0,48.0,1.0,8.0,1.0,Yes,18,Yes,No,No,No,Yes,8.0,2.4,1080.0,2340.0,Water Drop Notch,10.0,74.0,Xiaomi,snapdragon,Mid-Range,1-4 GB,32-256 GB,5000-10000 mAh,0-50W,v5-v10,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Samsung,59450,Android,Exynos_2100,8.0,128.0,4800.0,Yes,6.7,120.0,64.0,3.0,10.0,1.0,Yes,25,Yes,Yes,No,Yes,No,8.0,2.9,1080.0,2400.0,Punch Hole,12.0,88.0,Samsung,exynos,Flagship,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
POCO,12799,Android,Snapdragon_720,4.0,64.0,5000.0,Yes,6.67,60.0,48.0,1.0,16.0,1.0,Yes,33,Yes,No,No,No,Yes,8.0,2.3,1080.0,2400.0,Punch Hole,10.0,76.0,Other,snapdragon,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v5-v10,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Samsung,83000,Android,Exynos_990,8.0,128.0,4500.0,Yes,6.7,120.0,64.0,1.0,10.0,1.0,Yes,25,Yes,No,No,Yes,No,8.0,2.73,1440.0,3200.0,Punch Hole,10.0,88.0,Samsung,exynos,Flagship,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v5-v10,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,1080-1440 Width,2160-3840 Height,80-90 rating
Realme,14490,Android,Snapdragon_720,6.0,64.0,4300.0,Yes,6.6,90.0,64.0,1.0,16.0,2.0,Yes,30,Yes,No,No,No,No,8.0,2.3,1080.0,2400.0,Dual Punch Hole,10.0,80.0,Realme,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v5-v10,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Huawei,82990,Android,Kirin_990,8.0,256.0,4200.0,Yes,6.58,90.0,50.0,1.0,32.0,1.0,Yes,40,Yes,Yes,No,Yes,No,8.0,2.86,1200.0,2640.0,Dual Punch Hole,10.0,80.0,Other,kirin,Flagship,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v5-v10,6-9 inches,40-60 mp,16-40 mp,2-3 GHz,1080-1440 Width,2160-3840 Height,70-80 rating
Vivo,9490,Android,Snapdragon_439,3.0,32.0,5000.0,Yes,6.35,60.0,13.0,2.0,8.0,1.0,Yes,0,Yes,No,No,No,No,8.0,2.4,720.0,1544.0,Water Drop Notch,9.0,64.0,Vivo,snapdragon,Budget,1-4 GB,1-32 GB,3000-5000 mAh,0-50W,v5-v10,6-9 inches,5-14 mp,1-8 mp,2-3 GHz,640-1080 Width,1480-2160 Height,60-70 rating
Vivo,25000,Android,Snapdragon_675,8.0,128.0,3700.0,Yes,6.39,60.0,48.0,3.0,32.0,1.0,Yes,0,Yes,No,No,No,No,8.0,2.4,1080.0,2316.0,No Notch,9.0,78.0,Vivo,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v5-v10,6-9 inches,40-60 mp,16-40 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Vivo,15000,Android,Snapdragon_439,4.0,64.0,4030.0,Yes,6.22,60.0,13.0,2.0,20.0,1.0,Yes,0,Yes,No,No,No,No,8.0,1.95,1520.0,720.0,Water Drop Notch,8.1,65.0,Vivo,snapdragon,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v5-v10,6-9 inches,5-14 mp,16-40 mp,0-2 GHz,1440-2460 Width,640-1480 Height,60-70 rating
Vivo,20990,Android,Helio_60,4.0,128.0,3315.0,Yes,6.3,60.0,16.0,2.0,25.0,1.0,Yes,0,Yes,No,No,No,No,8.0,2.4,1080.0,2280.0,No Notch,8.1,70.0,Vivo,helio,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v5-v10,6-9 inches,14-40 mp,16-40 mp,2-3 GHz,640-1080 Width,2160-3840 Height,60-70 rating
Samsung,34999,Android,Exynos_9810,6.0,128.0,3500.0,Yes,6.2,60.0,12.0,2.0,8.0,1.0,Yes,0,Yes,No,No,Yes,No,8.0,2.8,1440.0,2960.0,No Notch,8.0,78.0,Samsung,exynos,Premium,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v5-v10,6-9 inches,5-14 mp,1-8 mp,2-3 GHz,1080-1440 Width,2160-3840 Height,70-80 rating
Realme,29999,Android,Snapdragon_8 Gen1,8.0,128.0,5000.0,Yes,6.73,144.0,50.0,3.0,16.0,1.0,Yes,120,Yes,Yes,Yes,No,No,8.0,2.4,1080.0,2400.0,Punch Hole,12.0,80.0,Realme,snapdragon,Premium,4-8 GB,32-256 GB,3000-5000 mAh,80-240W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Vivo,11999,Android,Dimensity_700,4.0,128.0,6000.0,Yes,6.51,60.0,13.0,2.0,5.0,1.0,No,15,Yes,Yes,No,No,No,8.0,2.4,720.0,1600.0,Water Drop Notch,13.0,67.0,Vivo,dimensity,Mid-Range,1-4 GB,32-256 GB,5000-10000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,1-8 mp,2-3 GHz,640-1080 Width,1480-2160 Height,60-70 rating
Samsung,12999,Android,Helio_35,4.0,128.0,5000.0,Yes,6.5,60.0,50.0,2.0,5.0,1.0,Yes,0,Yes,No,No,No,No,8.0,2.3,720.0,1600.0,Water Drop Notch,12.0,72.0,Samsung,helio,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,1480-2160 Height,70-80 rating
Leitz,124990,Android,Snapdragon_8 Gen1,12.0,256.0,5000.0,Yes,6.6,240.0,2.0,2.0,6.0,1.0,Yes,0,Yes,Yes,No,Yes,No,8.0,2.4,1260.0,2730.0,Punch Hole,12.0,89.0,Other,snapdragon,Luxury,8-18 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,2-5 mp,1-8 mp,2-3 GHz,1080-1440 Width,2160-3840 Height,80-90 rating
Xiaomi,28999,Android,Dimensity_8200,8.0,128.0,5080.0,Yes,6.67,120.0,50.0,3.0,32.0,1.0,Yes,120,Yes,Yes,Yes,No,Yes,8.0,3.1,1080.0,2460.0,Punch Hole,12.0,85.0,Xiaomi,dimensity,Premium,4-8 GB,32-256 GB,5000-10000 mAh,80-240W,v10-v16,6-9 inches,40-60 mp,16-40 mp,3-4 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Infinix,12999,Android,Helio_96,8.0,128.0,5000.0,Yes,6.78,60.0,50.0,1.0,8.0,1.0,Yes,18,Yes,No,No,No,No,8.0,2.05,1080.0,2460.0,Water Drop Notch,12.0,77.0,Other,helio,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Realme,28499,Android,Snapdragon_870,8.0,256.0,5000.0,Yes,6.62,120.0,64.0,3.0,16.0,1.0,Yes,80,Yes,Yes,No,No,No,8.0,3.2,1080.0,2400.0,Punch Hole,12.0,82.0,Realme,snapdragon,Premium,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,60-200 mp,8-16 mp,3-4 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Apple,104999,iOS,Bionic_15,6.0,512.0,4325.0,Yes,6.7,60.0,12.0,2.0,12.0,1.0,No,0,Yes,Yes,No,Yes,No,6.0,3.22,1284.0,2778.0,Small Notch,16.0,83.0,Apple,bionic,Luxury,4-8 GB,256-1024 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,8-16 mp,3-4 GHz,1080-1440 Width,2160-3840 Height,80-90 rating
Apple,172999,iOS,Bionic_16,6.0,1024.0,3200.0,Yes,6.1,120.0,48.0,3.0,12.0,1.0,No,0,Yes,Yes,No,Yes,No,6.0,2.4,1179.0,2556.0,No Notch,16.0,77.0,Apple,bionic,Luxury,4-8 GB,256-1024 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,1080-1440 Width,2160-3840 Height,70-80 rating
Xiaomi,17990,Android,Snapdragon_4,6.0,128.0,5100.0,Yes,6.73,120.0,64.0,2.0,16.0,1.0,Yes,18,Yes,Yes,No,No,Yes,8.0,2.4,1080.0,2408.0,Punch Hole,13.0,79.0,Xiaomi,snapdragon,Mid-Range,4-8 GB,32-256 GB,5000-10000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Xiaomi,13774,Android,Helio_99,6.0,128.0,5000.0,Yes,6.58,90.0,50.0,3.0,8.0,1.0,Yes,18,Yes,No,No,No,Yes,8.0,2.2,1080.0,2400.0,Water Drop Notch,12.0,76.0,Xiaomi,helio,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
itel,2239,Android,Other_3,6.0,128.0,5000.0,Yes,6.58,90.0,50.0,1.0,16.0,1.0,Yes,0,Yes,No,No,No,No,8.0,2.4,1080.0,2400.0,Unknown,12.0,80.0,Other,Other,Budget,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Nokia,8999,Android,Unisoc_9863,4.0,64.0,5050.0,Yes,6.52,60.0,13.0,2.0,5.0,1.0,Yes,0,Yes,No,No,No,No,8.0,1.6,720.0,1600.0,Water Drop Notch,11.0,64.0,Other,unisoc,Budget,1-4 GB,32-256 GB,5000-10000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,1-8 mp,0-2 GHz,640-1080 Width,1480-2160 Height,60-70 rating
OnePlus,18990,Android,Dimensity_810,4.0,64.0,5000.0,Yes,6.56,90.0,48.0,2.0,16.0,1.0,Yes,33,Yes,Yes,No,Yes,No,8.0,2.4,720.0,1612.0,Water Drop Notch,12.0,75.0,Other,dimensity,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,1480-2160 Height,70-80 rating
Tecno,14999,Android,Helio_85,6.0,128.0,5000.0,Yes,6.8,90.0,48.0,2.0,32.0,1.0,Yes,18,Yes,No,No,Yes,No,8.0,2.4,1080.0,2400.0,Punch Hole,12.0,77.0,Other,helio,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,16-40 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Realme Narzo,7999,Android,Other_612,3.0,32.0,5000.0,Yes,6.5,60.0,8.0,1.0,5.0,1.0,Yes,10,Yes,No,No,No,No,8.0,1.82,720.0,1600.0,Water Drop Notch,11.0,61.0,Other,Other,Budget,1-4 GB,1-32 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,1-8 mp,0-2 GHz,640-1080 Width,1480-2160 Height,60-70 rating
Xiaomi,39999,Android,Snapdragon_8,8.0,128.0,5000.0,Yes,6.67,144.0,108.0,3.0,20.0,1.0,Yes,120,Yes,Yes,No,Yes,Yes,8.0,3.2,1220.0,2712.0,Punch Hole,12.0,85.0,Xiaomi,snapdragon,Premium,4-8 GB,32-256 GB,3000-5000 mAh,80-240W,v10-v16,6-9 inches,60-200 mp,16-40 mp,3-4 GHz,1080-1440 Width,2160-3840 Height,80-90 rating
OPPO,11990,Android,Helio_35,3.0,64.0,5000.0,Yes,6.56,60.0,13.0,2.0,8.0,1.0,Yes,33,Yes,No,No,No,No,8.0,2.3,720.0,1612.0,Water Drop Notch,12.0,67.0,OPPO,helio,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,1-8 mp,2-3 GHz,640-1080 Width,1480-2160 Height,60-70 rating
Infinix,12999,Android,Helio_88,6.0,128.0,5000.0,Yes,6.7,60.0,50.0,2.0,16.0,1.0,Yes,33,Yes,No,No,No,No,8.0,2.4,2400.0,1080.0,Punch Hole,11.0,77.0,Other,helio,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,1440-2460 Width,640-1480 Height,70-80 rating
Samsung,54999,Android,Other_Unknown,8.0,128.0,4500.0,Yes,6.5,60.0,64.0,1.0,32.0,1.0,No,0,Yes,Yes,Yes,Yes,No,8.0,2.4,1080.0,2400.0,Punch Hole,12.0,77.0,Samsung,Other,Flagship,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,16-40 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Samsung,24990,Android,Other_Unknown,6.0,128.0,6000.0,Yes,6.7,60.0,64.0,3.0,32.0,1.0,Yes,0,Yes,Yes,No,No,No,8.0,2.4,1080.0,2400.0,Punch Hole,12.0,72.0,Samsung,Other,Mid-Range,4-8 GB,32-256 GB,5000-10000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,16-40 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Vivo,59999,Android,Dimensity_9000,12.0,256.0,4500.0,Yes,6.78,120.0,50.0,3.0,32.0,1.0,No,80,Yes,Yes,No,No,No,8.0,3.05,1080.0,2400.0,Punch Hole,12.0,88.0,Vivo,dimensity,Flagship,8-18 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,40-60 mp,16-40 mp,3-4 GHz,640-1080 Width,2160-3840 Height,80-90 rating
POCO,19999,Android,Snapdragon_778,6.0,128.0,5000.0,Yes,6.67,120.0,64.0,1.0,32.0,1.0,Yes,0,Yes,Yes,No,No,No,8.0,2.4,1080.0,2400.0,Punch Hole,12.0,72.0,Other,snapdragon,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,60-200 mp,16-40 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Infinix,16999,Android,Helio_96,8.0,128.0,5000.0,Yes,6.7,60.0,50.0,2.0,16.0,1.0,Yes,33,Yes,No,No,No,No,8.0,2.05,1080.0,2400.0,Punch Hole,12.0,79.0,Other,helio,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Samsung,14999,Android,Exynos_1330,4.0,64.0,6000.0,Yes,6.5,60.0,48.0,3.0,8.0,1.0,Yes,0,Yes,No,No,No,No,8.0,2.4,720.0,1600.0,Water Drop Notch,13.0,60.0,Samsung,exynos,Mid-Range,1-4 GB,32-256 GB,5000-10000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,1480-2160 Height,60-70 rating
Vivo,29990,Android,Snapdragon_778,8.0,128.0,4500.0,Yes,6.44,90.0,50.0,3.0,16.0,1.0,Yes,67,Yes,Yes,No,No,No,8.0,2.4,1080.0,2408.0,Water Drop Notch,12.0,76.0,Vivo,snapdragon,Premium,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Xiaomi,17999,Android,Helio_96,6.0,128.0,5000.0,Yes,6.67,120.0,108.0,1.0,16.0,1.0,Yes,67,Yes,No,No,No,Yes,8.0,2.05,1080.0,2400.0,Punch Hole,11.0,81.0,Xiaomi,helio,Mid-Range,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,60-200 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Realme Narzo,11399,Android,Other_612,4.0,64.0,5000.0,Yes,6.6,60.0,50.0,3.0,8.0,1.0,Yes,18,Yes,No,No,No,No,8.0,1.82,1080.0,2408.0,Water Drop Notch,11.0,73.0,Other,Other,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,0-2 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Eunity,599,Android,Other_1,0.03,0.03,1000.0,Yes,1.8,60.0,3.0,1.0,16.0,1.0,Yes,0,No,No,No,No,No,8.0,2.4,260.0,240.0,No Notch,12.0,80.0,Other,Other,Budget,0-1 GB,0-1 GB,800-3000 mAh,0-50W,v10-v16,1-4 inches,2-5 mp,8-16 mp,2-3 GHz,120-640 Width,160-640 Height,70-80 rating
Vivo,19990,Android,Dimensity_700,8.0,128.0,6000.0,Yes,6.58,60.0,50.0,2.0,8.0,1.0,Yes,18,Yes,Yes,No,No,No,8.0,2.2,1080.0,2408.0,Water Drop Notch,12.0,79.0,Vivo,dimensity,Mid-Range,4-8 GB,32-256 GB,5000-10000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Vivo,15499,Android,Snapdragon_680,4.0,128.0,5000.0,Yes,6.51,90.0,50.0,3.0,8.0,1.0,Yes,18,Yes,No,No,No,No,8.0,2.4,1600.0,720.0,Water Drop Notch,11.0,74.0,Vivo,snapdragon,Mid-Range,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,1440-2460 Width,640-1480 Height,70-80 rating
Gionee,6999,Android,Other_310,3.0,32.0,4800.0,Yes,6.8,60.0,13.0,1.0,5.0,1.0,Yes,0,Yes,No,No,No,No,4.0,2.4,720.0,1600.0,Punch Hole,10.0,80.0,Other,Other,Budget,1-4 GB,1-32 GB,3000-5000 mAh,0-50W,v5-v10,6-9 inches,5-14 mp,1-8 mp,2-3 GHz,640-1080 Width,1480-2160 Height,70-80 rating
Xiaomi,12499,Android,Snapdragon_720,4.0,128.0,5020.0,Yes,6.67,60.0,48.0,1.0,16.0,1.0,Yes,18,Yes,No,No,No,Yes,8.0,2.3,1080.0,2400.0,Punch Hole,10.0,77.0,Xiaomi,snapdragon,Mid-Range,1-4 GB,32-256 GB,5000-10000 mAh,0-50W,v5-v10,6-9 inches,40-60 mp,8-16 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Apple,91999,iOS,Bionic_15,4.0,512.0,3240.0,Yes,6.1,60.0,12.0,2.0,12.0,1.0,No,0,Yes,Yes,No,Yes,No,6.0,3.22,1170.0,2532.0,Small Notch,15.0,80.0,Apple,bionic,Flagship,1-4 GB,256-1024 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,5-14 mp,8-16 mp,3-4 GHz,1080-1440 Width,2160-3840 Height,70-80 rating
Infinix,9690,Android,Helio_88,4.0,64.0,5000.0,Yes,6.78,90.0,50.0,2.0,8.0,1.0,Yes,0,Yes,No,No,No,No,8.0,2.4,1080.0,2480.0,Punch Hole,11.0,71.0,Other,helio,Budget,1-4 GB,32-256 GB,3000-5000 mAh,0-50W,v10-v16,6-9 inches,40-60 mp,1-8 mp,2-3 GHz,640-1080 Width,2160-3840 Height,70-80 rating
Realme,32990,Android,Snapdragon_870,8.0,128.0,4500.0,Yes,6.55,120.0,50.0,3.0,32.0,1.0,Yes,65,Yes,Yes,No,Yes,No,8.0,3.2,1080.0,2400.0,Punch Hole,12.0,85.0,Realme,snapdragon,Premium,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,40-60 mp,16-40 mp,3-4 GHz,640-1080 Width,2160-3840 Height,80-90 rating
Xiaomi,42990,Android,Snapdragon_8 Gen1,8.0,128.0,4500.0,Yes,6.28,120.0,50.0,3.0,32.0,1.0,Yes,67,Yes,Yes,No,Yes,Yes,8.0,2.4,1080.0,2400.0,Punch Hole,12.0,87.0,Xiaomi,snapdragon,Premium,4-8 GB,32-256 GB,3000-5000 mAh,50-80W,v10-v16,6-9 inches,40-60 mp,16-40 mp,2-3 GHz,640-1080 Width,2160-3840 Height,80-90 rating
CAT,14999,Android,Other_215,2.0,16.0,2000.0,No,4.0,60.0,50.0,1.0,16.0,1.0,Yes,0,Yes,No,No,No,No,4.0,1.3,480.0,640.0,No Notch,12.0,80.0,Other,Other,Mid-Range,1-4 GB,1-32 GB,800-3000 mAh,0-50W,v10-v16,1-4 inches,40-60 mp,8-16 mp,0-2 GHz,120-640 Width,160-640 Height,70-80 rating
